variable,"aror","asd","maxdd"
Namibia,7.16,7.49,7.49
Czech Republic,6.79,6.60,6.60
Equatorial Guinea,6.26,6.05,6.05
Austria,6.10,4.94,4.94
Germany,6.01,4.92,4.92
Lithuania,6.00,4.86,4.86
Gabon,5.96,4.84,4.84
Poland,5.88,4.80,4.80
Estonia,5.87,4.45,4.45
Ireland,5.73,4.45,4.45
Venezuela (Bolivarian Republic of),5.43,4.39,4.39
Angola,5.12,4.30,4.30
Belgium,5.02,4.26,4.26
Iceland,4.98,3.96,3.96
Spain,4.87,3.91,3.91
Panama,4.82,3.87,3.87
Slovenia,4.59,3.76,3.76
Latvia,4.57,3.72,3.72
